Wk,Day,Family,OT1,OT2,OT3,Full OT,Psalms,NT
,Fri,Luke 19,Deuteronomy 22,Isaiah 35,Ezekiel 35,Song of Solomon 7-8,52,Acts 28
,,,,,,,,
36,Mon,Matthew 22,Deuteronomy 23,Isaiah 36,Ezekiel 36,Isaiah 1-3,53,1 Timothy 1
,Tue,John 13,Deuteronomy 24,Isaiah 37,Ezekiel 37,Isaiah 4-6,54,1 Timothy 2
,Wed,John 14,Deuteronomy 25,Isaiah 38,Ezekiel 38,Isaiah 7-9,55,1 Timothy 3
,Thu,John 15,Deuteronomy 27,Isaiah 39,Ezekiel 39,Isaiah 10-12,56,1 Timothy 4
,Fri,John 16,Deuteronomy 28,Isaiah 40,Ezekiel 40,Isaiah 13-15,57-58,1 Timothy 5
,,,,,,,,
37,Mon,John 17,Deuteronomy 29,Isaiah 41,Ezekiel 41,Isaiah 16-18,59,1 Timothy 6
,Tue,Luke 22,Deuteronomy 30,Isaiah 42,Ezekiel 42,Isaiah 19-21,60-61,Titus 1
,Wed,Luke 23,Deuteronomy 31,Isaiah 43,Ezekiel 43,Isaiah 22-24,62,Titus 2
,Thu,Luke 24,Deuteronomy 32,Isaiah 44,Ezekiel 44,Isaiah 25-27,63,Titus 3
,Fri,John 20,Deuteronomy 33,Isaiah 45,Ezekiel 45,Isaiah 28-30,64,1 Peter 1
,,,,,,,,
38,Mon,John 21,Deuteronomy 34,Isaiah 46,Ezekiel 46,Isaiah 31-33,65,1 Peter 2
,Tue,Acts 1,Joshua 1,Isaiah 47,Ezekiel 47,Isaiah 34-36,66,1 Peter 3
,Wed,Acts 2,Joshua 2,Isaiah 48,Ezekiel 48,Isaiah 37-39,67,1 Peter 4
,Thu,Acts 3,Joshua 3,Isaiah 49,Obadiah 1,Isaiah 40-42,68,1 Peter 5
,Fri,Acts 4,Joshua 4,Isaiah 50,,Isaiah 43-45,69-70,2 Timothy 1
,,,,,,,,
39,Mon,Acts 5,Joshua 5,Isaiah 51,Daniel 1,Isaiah 46-48,71,2 Timothy 2
,Tue,Acts 6,Joshua 6,Isaiah 52-53,Daniel 2,Isaiah 49-51,72,2 Timothy 3
,Wed,Acts 7,Joshua 7,Isaiah 54,Daniel 3,Isaiah 52-54,73,2 Timothy 4
,Thu,Acts 8,Joshua 8,Isaiah 55,Daniel 4,Isaiah 55-57,74,2 Peter 1
,Fri,Acts 9,Joshua 9,Isaiah 56,Daniel 5,Isaiah 58-60,75-76,2 Peter 2
,,,,,,,,
40,Mon,Acts 10,Joshua 10,Isaiah 57,Daniel 6,Isaiah 61-63,77,2 Peter 3
,Tue,Acts 11,Joshua 11,Isaiah 58,Daniel 7,Isaiah 64-66,78,Jude 1
,Wed,Acts 13,Joshua 12,Isaiah 59,Daniel 8,Jeremiah 1-3,79,Hebrews 1
,Thu,Acts 14,Joshua 13,Isaiah 60,Daniel 9,Jeremiah 4-6,80,Hebrews 2
,Fri,Acts 15,Joshua 14,Isaiah 61,Daniel 10,Jeremiah 7-9,81-82,Hebrews 3
,,,,,,,,
41,Mon,Acts 16,Joshua 15,Isaiah 62,Daniel 11,Jeremiah 10-12,83,Hebrews 4
